Sentence #,Sentence,POS,Tag
Sentence: 41200,The English reached 297-for three at stumps for an overall lead of 367 runs .,"['DT', 'NNS', 'VBD', 'JJ', 'CD', 'IN', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'IN', 'CD', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 9241,He did not elaborate on what the two sides discussed .,"['PRP', 'VBD', 'RB', 'VB', 'IN', 'WP', 'DT', 'CD', 'NNS', 'VBD', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 27994,"Sudan 's State Minister of Foreign Affairs , Najib el-Kheir , says his country will cooperate with a special investigator appointed by the Commission to monitor the human-rights situation in Darfur .","['NNP', 'POS', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', ',', 'NNP', 'NNP', ',', 'VBZ', 'PRP$', 'NN', 'MD', 'VB', 'IN', 'DT', 'JJ', 'NN', 'VBN', 'IN', 'DT', 'NNP', 'TO', 'VB', 'DT', 'JJ', 'NN', 'IN', 'NNP', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
Sentence: 42694,"The report also said an improvised mine had been found last Sunday in Kanyutkwin , Phyu township after authorities received a tip .","['DT', 'NN', 'RB', 'VBD', 'DT', 'JJ', 'NN', 'VBD', 'VBN', 'VBN', 'JJ', 'NNP', 'IN', 'NNP', ',', 'NNP', 'NN', 'IN', 'NNS', 'VBD', 'DT', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 28389,"Each batch of enriched uranium has a unique "" fingerprint . ""","['DT', 'NN', 'IN', 'VBN', 'NN', 'VBZ', 'DT', 'JJ', '``', 'NN', '.', '``']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 5083,"Bird flu has killed more than 80 people in southeast Asia , China , and Turkey since 2003 .","['NN', 'NN', 'VBZ', 'VBN', 'JJR', 'IN', 'CD', 'NNS', 'IN', 'JJ', 'NNP', ',', 'NNP', ',', 'CC', 'NNP', 'IN', 'CD', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'B-geo', 'B-tim', 'I-tim', 'O']"
Sentence: 26883,"The talks between the two leaders meeting in the North African country are expected to focus on gas exploration deals with Russia 's natural gas company , Gazprom .","['DT', 'NNS', 'IN', 'DT', 'CD', 'NNS', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'VBP', 'VBN', 'TO', 'VB', 'IN', 'NN', 'NN', 'NNS', 'IN', 'NNP', 'POS', 'JJ', 'NN', 'NN', ',', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O']"
Sentence: 35039,"Mr. Bush also urged friends and family of the elderly to help their loved ones enroll , by gathering information , making a phone call , or helping them to fill out forms .","['NNP', 'NNP', 'RB', 'VBD', 'NNS', 'CC', 'NN', 'IN', 'DT', 'NN', 'TO', 'VB', 'PRP$', 'VBN', 'NNS', 'NN', ',', 'IN', 'VBG', 'NN', ',', 'VBG', 'DT', 'NN', 'NN', ',', 'CC', 'VBG', 'PRP', 'TO', 'VB', 'RP', 'NNS', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 36841,New South Wales police said Wednesday they took six men from Hong Kong and two Malaysian women into custody after raiding a hotel in central Sydney .,"['NNP', 'NNP', 'NNP', 'NN', 'VBD', 'NNP', 'PRP', 'VBD', 'CD', 'NNS', 'IN', 'NNP', 'NNP', 'CC', 'CD', 'JJ', 'NNS', 'IN', 'NN', 'IN', 'VBG', 'DT', 'NN', 'IN', 'JJ', 'NNP', '.']","['B-geo', 'I-geo', 'I-geo', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
Sentence: 9566,"Post-election violence in early 2008 , coupled with the effects of the global financial crisis on remittance and exports , reduced GDP growth to 1.7 in 2008 , but the economy rebounded in 2009 - 10 .","['NN', 'NN', 'IN', 'JJ', 'CD', ',', 'VBN', 'IN', 'DT', 'NNS', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'NN', 'CC', 'NNS', ',', 'VBD', 'NN', 'NN', 'TO', 'CD', 'IN', 'CD', ',', 'CC', 'DT', 'NN', 'VBD', 'IN', 'CD', 'IN', 'CD', '.']","['O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'I-tim', 'O']"
Sentence: 22911,"And one Islamic group - the Supreme Islamic Council of Somalia - based in the capital , Mogadishu , said it was opening a sharia court in the central town of Adaado .","['CC', 'CD', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', ':', 'VBN', 'IN', 'DT', 'NN', ',', 'NNP', ',', 'VBD', 'PRP', 'VBD', 'VBG', 'DT', 'NN', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
Sentence: 46779,"The floods overturned cars and trucks , and bodies were seen caught in the branches of trees .","['DT', 'NNS', 'VBD', 'NNS', 'CC', 'NNS', ',', 'CC', 'NNS', 'VBD', 'VBN', 'VBN', 'IN', 'DT', 'NNS', 'IN', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 26233,The tests were suspended in January 1996 .,"['DT', 'NNS', 'VBD', 'VBN', 'IN', 'NNP', 'CD', '.']","['O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O']"
Sentence: 1271,"It has sizeable hydropower capacity , a growing component of its energy supplies .","['PRP', 'VBZ', 'JJ', 'NN', 'NN', ',', 'DT', 'VBG', 'NN', 'IN', 'PRP$', 'NN', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 18493,And coalition forces say they captured a high-level Baath Party leader Hamid Sharki Shadid in Diyala province .,"['CC', 'NN', 'NNS', 'VBP', 'PRP', 'VBD', 'DT', 'JJ', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'B-per', 'I-per', 'I-per', 'O', 'B-geo', 'O', 'O']"
Sentence: 16648,"Two Lebanese soldiers were killed in fighting , as the army continues its assault against Islamic militants holed up inside a Palestinian refugee camp .","['CD', 'JJ', 'NNS', 'VBD', 'VBN', 'IN', 'NN', ',', 'IN', 'DT', 'NN', 'VBZ', 'PRP$', 'NN', 'IN', 'NNP', 'NNS', 'VBD', 'RP', 'IN', 'DT', 'JJ', 'NN', 'NN', '.']","['O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O']"
Sentence: 13730,Officials say the group is responsible for suicide bombings on Shi'ite religious sites and may have been planning new attacks .,"['NNS', 'VBP', 'DT', 'NN', 'VBZ', 'JJ', 'IN', 'NN', 'NNS', 'IN', 'NNP', 'JJ', 'NNS', 'CC', 'MD', 'VB', 'VBN', 'VBG', 'JJ', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 44705,The execution is the government 's first case of capital punishment since its formation in 2004 .,"['DT', 'NN', 'VBZ', 'DT', 'NN', 'POS', 'JJ', 'NN', 'IN', 'NN', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'CD', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
Sentence: 20001,Some fishing takes place in adjacent waters .,"['DT', 'NN', 'VBZ', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 14494,But U.S. officials have expressed concerns that a cross-border operation could destabilize northern Iraq .,"['CC', 'NNP', 'NNS', 'VBP', 'VBN', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'MD', 'VB', 'JJ', 'NNP', '.']","['O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
Sentence: 1340,"Earlier this week , a leading Democrat in the Senate called on President Bush to shut down the Guantanamo camp and launch a massive probe into alleged abuses there .","['RBR', 'DT', 'NN', ',', 'DT', 'VBG', 'NNP', 'IN', 'DT', 'NNP', 'VBD', 'IN', 'NNP', 'NNP', 'TO', 'VB', 'RP', 'DT', 'NNP', 'NN', 'CC', 'VB', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', 'RB', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 32811,Hundreds of protesters marched through the streets of Guatemala City Friday to voice opposition to the Central American Free Trade Agreement with the United States .,"['NNS', 'IN', 'NNS', 'VBD', 'IN', 'DT', 'NNS', 'IN', 'NNP', 'NNP', 'NNP', 'TO', 'VB', 'NN', 'TO', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'IN', 'DT', 'NNP', 'NNPS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
Sentence: 47239,The flight to Earth 's nearest neighbor is expected to take five months .,"['DT', 'NN', 'TO', 'NNP', 'POS', 'JJS', 'NN', 'VBZ', 'VBN', 'TO', 'VB', 'CD', 'NNS', '.']","['O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O']"
Sentence: 13913,They will join two-time Olympic medalists Mark Grimmette and Brian Martinin the doubles competition .,"['PRP', 'MD', 'VB', 'JJ', 'NNP', 'NNS', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', 'DT', 'NNS', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O']"
Sentence: 44234,"The story in The New Yorker magazine says the Bush administration has sent secret commando teams into Iran to pick out nuclear , chemical and missile sites that could be destroyed by airstrikes and commando raids .","['DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'VBZ', 'DT', 'NNP', 'NN', 'VBZ', 'VBN', 'JJ', 'NN', 'NNS', 'IN', 'NNP', 'TO', 'VB', 'RP', 'JJ', ',', 'NN', 'CC', 'NN', 'NNS', 'WDT', 'MD', 'VB', 'VBN', 'IN', 'NNS', 'CC', 'NN', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 17703,"Louisiana Governor Kathleen Blanco says a number of fishing villages in the state 's Cameron Parish have been "" erased from the map "" by Hurricane Rita .","['NNP', 'NNP', 'NNP', 'NNP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'NNS', 'IN', 'DT', 'NN', 'POS', 'NNP', 'NNP', 'VBP', 'VBN', '``', 'VBN', 'IN', 'DT', 'NN', '``', 'IN', 'NNP', 'NNP', '.']","['B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-nat', 'I-nat', 'O']"
Sentence: 8621,These include creation of an improved early warning system and a coordinated emergency plan in the event of a pandemic .,"['DT', 'VBP', 'NN', 'IN', 'DT', 'VBN', 'JJ', 'NN', 'NN', 'CC', 'DT', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 23125,"Local elections were held in Cambodia in April 2007 , with little of the pre-election violence that preceded prior elections .","['JJ', 'NNS', 'VBD', 'VBN', 'IN', 'NNP', 'IN', 'NNP', 'CD', ',', 'IN', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'VBD', 'JJ', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 27651,"Bird flu has spread across parts of Europe , Africa and Asia , killing about 100 people since 2003 .","['NN', 'NN', 'VBZ', 'VBN', 'IN', 'NNS', 'IN', 'NNP', ',', 'NNP', 'CC', 'NNP', ',', 'VBG', 'IN', 'CD', 'NNS', 'IN', 'CD', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O']"
Sentence: 23891,"Representatives of Bulgaria , the Czech Republic , Estonia , Latvia , Lithuania , Poland , Slovakia , Slovenia and Romania as well as Canada expressed their views in a letter to NATO Secretary General Jaap de Hoop Scheffer .","['NNS', 'IN', 'NNP', ',', 'DT', 'JJ', 'NNP', ',', 'NNP', ',', 'NNP', ',', 'NNP', ',', 'NNP', ',', 'NNP', ',', 'NNP', 'CC', 'NNP', 'RB', 'RB', 'IN', 'NNP', 'VBD', 'PRP$', 'NNS', 'IN', 'DT', 'NN', 'TO', 'NNP', 'NN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', '.']","['O', 'O', 'B-geo', 'O', 'O', 'B-gpe', 'B-geo', 'O', 'B-geo', 'O', 'B-geo', 'O', 'B-geo', 'O', 'B-geo', 'O', 'B-geo', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'I-org', 'O']"
Sentence: 5402,Opel has been suffering through the world economic crisis along with many other global automakers .,"['NNP', 'VBZ', 'VBN', 'VBG', 'IN', 'DT', 'NN', 'JJ', 'NN', 'IN', 'IN', 'JJ', 'JJ', 'JJ', 'NNS', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 13992,Afghanistan 's Interior Ministry says a suspected suicide bomber has tried to kill the governor of southern Helmand province by detonating a car bomb outside his office .,"['NNP', 'POS', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'VBZ', 'VBN', 'TO', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NNP', 'NN', 'IN', 'VBG', 'DT', 'NN', 'NN', 'IN', 'PRP$', 'NN', '.']","['B-org', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 97,Authorities in Mogadishu have not determined a motive for the shooting .,"['NNS', 'IN', 'NNP', 'VBP', 'RB', 'VBN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']","['O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 20219,Her abduction last month was widely condemned by Iraqi civilians and Islamic groups .,"['PRP$', 'NN', 'JJ', 'NN', 'VBD', 'RB', 'VBN', 'IN', 'JJ', 'NNS', 'CC', 'JJ', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O']"
Sentence: 43249,The Ethiopian government has charged 55 opposition members with trying to launch an armed rebellion .,"['DT', 'JJ', 'NN', 'VBZ', 'VBN', 'CD', 'NN', 'NNS', 'IN', 'VBG', 'TO', 'VB', 'DT', 'JJ', 'NN', '.']","['O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 34063,Afghan authorities have blamed the increase in suicide attacks and car-bomb explosions on foreign insurgents .,"['JJ', 'NNS', 'VBP', 'VBN', 'DT', 'NN', 'IN', 'NN', 'NNS', 'CC', 'JJ', 'NNS', 'IN', 'JJ', 'NNS', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 4914,U.S. Secretary of State Condoleezza Rice says the Bush administration is still considering setting up a diplomatic mission in Iran .,"['NNP', 'NN', 'IN', 'NN', 'NNP', 'NNP', 'VBZ', 'DT', 'NNP', 'NN', 'VBZ', 'RB', 'VBG', 'VBG', 'RP', 'DT', 'JJ', 'NN', 'IN', 'NNP', '.']","['B-org', 'I-org', 'I-org', 'I-org', 'B-per', 'I-per', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
Sentence: 26301,"World health officials have long feared the virus might change into a form easily transferable among people , triggering a deadly global pandemic .","['NNP', 'NN', 'NNS', 'VBP', 'RB', 'VBN', 'DT', 'NN', 'MD', 'VB', 'IN', 'DT', 'NN', 'RB', 'JJ', 'IN', 'NNS', ',', 'VBG', 'DT', 'JJ', 'JJ', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 30379,"Sugar and wood pulp were major foreign exchange earners ; however , the wood pulp producer closed in January 2010 , and sugar is now the main export earner .","['NN', 'CC', 'NN', 'NN', 'VBD', 'JJ', 'JJ', 'NN', 'NNS', ';', 'RB', ',', 'DT', 'NN', 'NN', 'NN', 'VBD', 'IN', 'NNP', 'CD', ',', 'CC', 'NN', 'VBZ', 'RB', 'DT', 'JJ', 'NN', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 44917,General Gration said that combined western military efforts can help prevent terrorists from taking root in some nations .,"['NNP', 'NNP', 'VBD', 'IN', 'VBN', 'JJ', 'JJ', 'NNS', 'MD', 'VB', 'VB', 'NNS', 'IN', 'VBG', 'NN', 'IN', 'DT', 'NNS', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 16915,The allegations led former finance minister David Mwiraria to resign last month .,"['DT', 'NNS', 'VBD', 'JJ', 'NN', 'NN', 'NNP', 'NNP', 'TO', 'VB', 'JJ', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O']"
Sentence: 33024,"U.S. officials say troops came under attack , while looking for militants who were transporting foreign fighters between the two countries .","['NNP', 'NNS', 'VBP', 'NNS', 'VBD', 'IN', 'NN', ',', 'IN', 'VBG', 'IN', 'NNS', 'WP', 'VBD', 'VBG', 'JJ', 'NNS', 'IN', 'DT', 'CD', 'NNS', '.']","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
